Payment History,Credit Utilization Ratio,Number of Credit Accounts,Education Level,Employment Status
88,69.31939408226809,1,PhD,Self-Employed
63,82.14407280098665,11,PhD,Employed
80,4.118349527927167,7,High School,Self-Employed
54,67.03854583544123,6,Master,Employed
84,95.15499743553269,2,High School,Employed
72,12.421996672805935,8,PhD,Unemployed
78,89.62213026850382,11,Master,Employed
92,59.47766373769361,4,Bachelor,Employed
60,61.6604581862474,8,Master,Unemployed
67,61.29441748656059,7,PhD,Self-Employed
96,29.883588633731385,5,Master,Employed
61,93.52018152994597,10,High School,Unemployed
58,94.73504626310387,10,Bachelor,Employed
59,62.53046602139478,12,Bachelor,Unemployed
93,78.34227259416147,8,Bachelor,Self-Employed
66,61.2257985881158,14,PhD,Self-Employed
87,48.43984475740406,9,PhD,Unemployed
56,66.08201182992507,5,Bachelor,Unemployed
95,55.300145259195844,10,Master,Unemployed
62,59.74758626319301,5,Bachelor,Self-Employed
89,78.3832553418862,2,Master,Employed
91,48.09038314489848,5,Master,Self-Employed
58,4.075410609247276,3,PhD,Unemployed
99,16.399948098949725,7,Master,Unemployed
76,43.860721648953835,10,Bachelor,Self-Employed
51,72.48265598740583,5,PhD,Unemployed
54,59.32786483101788,8,High School,Self-Employed
78,65.02941858734539,1,High School,Unemployed
86,47.92789285762873,3,PhD,Employed
87,61.574202194224284,3,Bachelor,Employed
68,32.90174378146622,9,High School,Unemployed
57,47.01825926966651,5,High School,Self-Employed
97,74.42790655949555,12,Master,Employed
94,87.18327789731212,9,Master,Self-Employed
50,43.36553339563889,13,Bachelor,Unemployed
71,4.366165770736119,9,PhD,Self-Employed
66,16.167254414680265,1,Bachelor,Employed
56,2.08611392915381,2,PhD,Self-Employed
74,65.32630192373301,5,High School,Self-Employed
94,33.23146253551089,4,Master,Unemployed
53,54.24786357193675,10,Bachelor,Unemployed
85,49.32768467837996,9,Bachelor,Unemployed
55,8.15264895524267,7,PhD,Employed
80,40.32613611238318,6,PhD,Employed
68,22.056112492232327,7,Bachelor,Unemployed
93,41.83997886676527,1,PhD,Unemployed
88,20.35782803422427,1,Bachelor,Employed
76,84.04524062769335,8,Bachelor,Employed
59,17.419333657825366,13,Bachelor,Employed
75,96.0780551486977,13,High School,Employed
68,41.59073661469408,2,PhD,Unemployed
88,84.62452920190493,12,Master,Employed
52,62.876481820594506,10,Master,Unemployed
94,73.53502986657526,11,PhD,Self-Employed
62,76.77238880667802,9,Bachelor,Self-Employed
99,50.48448818930178,7,Master,Employed
77,54.33005233632884,6,Master,Self-Employed
69,51.3995867808725,1,PhD,Self-Employed
77,58.80583780900792,1,Master,Self-Employed
57,2.9394445756507293,2,Bachelor,Employed
90,39.551516984901525,6,PhD,Employed
88,60.618871356117154,14,Bachelor,Self-Employed
50,59.77235652558643,6,Master,Unemployed
52,79.29560946056316,2,Master,Self-Employed
62,65.50093388321085,1,Bachelor,Employed
77,99.21333163406723,10,High School,Employed
98,28.3854528608645,5,Master,Employed
74,35.915102966623145,5,High School,Self-Employed
82,38.38471518677963,2,Master,Unemployed
87,46.581280702024856,6,High School,Employed
55,83.59980637812095,9,High School,Employed
93,23.579209395920987,2,High School,Self-Employed
94,77.60002070354295,10,Bachelor,Unemployed
81,40.53101830857434,2,High School,Self-Employed
94,60.18553836620085,3,High School,Employed
96,63.25405332263061,13,High School,Unemployed
70,37.28486371889345,7,Master,Unemployed
65,51.26152052058052,6,High School,Employed
70,41.3031174647697,12,Master,Unemployed
60,6.913278618661945,8,High School,Unemployed
86,43.71653888168265,8,High School,Self-Employed
85,9.739339255355217,6,Bachelor,Employed
84,40.50207990803215,12,Master,Employed
68,59.291839983178185,11,High School,Employed
69,57.941489934350074,10,Master,Employed
67,66.26212790083204,3,Master,Employed
96,9.526150795462629,3,PhD,Unemployed
90,65.21232455304379,1,Bachelor,Self-Employed
98,31.214805669644708,7,Bachelor,Employed
63,39.90459461371111,5,Bachelor,Self-Employed
64,85.79862539227058,4,PhD,Self-Employed
80,0.9030404129550251,10,PhD,Unemployed
50,58.84126333406054,4,Bachelor,Employed
52,59.87139801001076,14,PhD,Unemployed
65,39.665977634356196,4,PhD,Employed
72,23.702785710833616,6,PhD,Unemployed
60,23.46740382615511,8,Bachelor,Self-Employed
61,88.37096696607526,8,Bachelor,Employed
59,44.20243737828575,5,Bachelor,Self-Employed
81,33.08893629891719,6,PhD,Self-Employed
65,44.877757383140306,4,Bachelor,Unemployed
57,66.93904014593613,12,PhD,Employed
87,14.57565682447517,14,High School,Self-Employed
61,44.94338352137377,11,PhD,Unemployed
73,58.7884371110387,13,Master,Employed
77,94.85833548514337,9,Bachelor,Employed
57,25.252778207541926,8,Bachelor,Self-Employed
77,35.92507479162455,10,Master,Employed
85,37.93585899224238,12,PhD,Self-Employed
75,60.553815764488284,10,High School,Employed
57,35.67320530400016,1,Master,Unemployed
99,53.35119252996956,2,Master,Self-Employed
77,78.17903298450294,9,PhD,Self-Employed
77,70.53855941122036,8,Bachelor,Employed
86,44.636864651258556,14,PhD,Employed
90,86.42161776741689,3,Master,Self-Employed
85,55.81402495938629,8,Master,Employed
76,53.99058395022125,12,Bachelor,Unemployed
66,3.4187765939158177,1,Bachelor,Employed
58,98.66929803571615,10,Bachelor,Unemployed
82,12.297080852962672,4,PhD,Unemployed
69,23.11309124276466,3,Bachelor,Unemployed
62,5.169683724152696,6,Master,Unemployed
77,64.00029668369137,7,Master,Unemployed
97,22.470117697267998,4,High School,Employed
78,18.001043747272348,7,PhD,Unemployed
62,8.855558422324139,9,High School,Employed
95,10.330895712401567,11,Master,Unemployed
84,58.467070044258875,2,High School,Self-Employed
55,68.82078658665954,11,Master,Unemployed
67,39.7378988464401,3,High School,Self-Employed
100,47.989708159207325,5,Bachelor,Unemployed
54,68.59677359829841,3,High School,Unemployed
96,1.7379790185479638,11,Bachelor,Unemployed
74,32.31306570702785,8,Bachelor,Self-Employed
51,97.30977480703464,12,PhD,Self-Employed
59,58.01122296954681,10,Bachelor,Unemployed
79,25.422457989749326,8,Bachelor,Employed
99,52.17300466362131,8,High School,Unemployed
94,34.26534881209153,12,Master,Self-Employed
54,53.22449888262991,12,PhD,Unemployed
82,12.574151180664883,9,Bachelor,Self-Employed
50,13.271465381927738,4,PhD,Self-Employed
67,14.354236203939285,5,High School,Self-Employed
81,93.98197919268418,5,Bachelor,Unemployed
96,73.28989183413418,8,High School,Self-Employed
98,16.23818946623209,7,PhD,Self-Employed
60,18.834908376560143,9,High School,Unemployed
70,73.08294748708764,14,PhD,Self-Employed
75,15.616384479217393,8,High School,Unemployed
74,23.456129333482867,2,PhD,Self-Employed
71,96.3346832820399,10,Master,Employed
76,25.530652472843187,12,High School,Employed
98,66.16323503711467,4,High School,Self-Employed
62,97.86312874005304,6,Master,Employed
82,37.42967671397926,12,Master,Unemployed
83,1.7515990862062236,2,High School,Employed
90,24.414729042237425,7,Master,Self-Employed
84,83.08771913417054,3,Bachelor,Self-Employed
50,86.46088359550367,13,PhD,Unemployed
70,76.85193645237912,3,PhD,Self-Employed
97,11.310981907657302,11,PhD,Unemployed
55,79.55103716964031,2,Bachelor,Employed
77,91.86777969935042,11,Master,Employed
66,60.06095425462361,8,Master,Unemployed
54,94.08753563380648,6,High School,Unemployed
80,82.68388837118775,1,Master,Self-Employed
54,66.69715169909072,12,High School,Employed
87,57.718523671174815,1,Bachelor,Unemployed
52,34.85736672419705,7,PhD,Employed
72,15.928744524280514,8,PhD,Unemployed
86,60.49539226905408,5,PhD,Employed
86,31.81115536181195,12,Master,Self-Employed
59,86.64386675276454,11,High School,Employed
59,99.33369373586285,5,High School,Employed
68,75.24277626155725,4,Bachelor,Employed
66,9.048169528705074,14,Master,Employed
70,28.86855955306381,6,Bachelor,Employed
63,10.910963176574972,14,High School,Self-Employed
58,65.05116477917157,6,High School,Unemployed
95,76.51908645557846,3,PhD,Employed
50,92.56748308807119,9,Master,Self-Employed
100,43.817234641198766,12,High School,Employed
94,90.13756495884444,11,PhD,Employed
62,87.78911590413276,14,Master,Unemployed
53,31.71957167653986,7,Bachelor,Employed
50,86.8900625540571,1,Master,Self-Employed
98,37.56722518817265,13,Master,Self-Employed
89,29.68692745602808,7,High School,Unemployed
81,64.90746587943931,5,High School,Employed
83,32.83812278850811,5,Master,Self-Employed
77,63.02087483291442,14,High School,Employed
80,60.98318054986945,13,High School,Employed
57,56.34389273484588,2,High School,Employed
88,38.04197042327977,4,PhD,Unemployed
75,54.849972165147676,12,PhD,Employed
83,59.64854749854216,6,Master,Self-Employed
52,54.56868884954734,10,High School,Employed
99,44.441945275120155,11,PhD,Self-Employed
61,1.466705704626381,7,Master,Employed
50,58.706170770115094,11,High School,Self-Employed
93,16.844438514271964,5,Bachelor,Self-Employed
54,64.25759689471896,9,High School,Employed
79,75.9344327922866,3,High School,Employed
79,50.04453091307415,1,PhD,Self-Employed
66,54.23636649797383,4,Master,Unemployed
97,95.14785596659911,9,Master,Employed
96,84.71673613725741,4,PhD,Unemployed
72,91.42365159514699,2,High School,Employed
64,81.37662883195864,10,Bachelor,Employed
86,10.891834184673144,14,High School,Employed
70,14.899185597019471,14,High School,Employed
63,52.662379726895956,5,Bachelor,Unemployed
51,24.606965879799823,3,PhD,Employed
60,47.66954750411592,13,Master,Self-Employed
100,39.43653238183502,12,PhD,Self-Employed
88,54.941423843045335,13,PhD,Unemployed
87,74.68757161358226,9,High School,Employed
83,71.54909070992744,4,Master,Self-Employed
87,52.12341324853343,6,Master,Unemployed
99,82.23934188170581,2,PhD,Employed
83,43.08620915380333,6,Bachelor,Self-Employed
67,89.67142898401224,3,PhD,Self-Employed
79,7.12802700551639,12,Bachelor,Unemployed
64,95.46600300333074,12,Master,Employed
76,65.46930814313482,9,PhD,Employed
100,38.00745089372053,11,High School,Self-Employed
83,19.715412657287736,2,PhD,Self-Employed
87,47.91832294435999,12,Master,Self-Employed
82,19.4558323185301,12,High School,Employed
73,16.633160774314216,9,High School,Unemployed
64,61.73517574129742,5,Bachelor,Unemployed
79,52.30847245817847,8,High School,Employed
91,67.00960346109417,2,High School,Unemployed
100,92.96058774219892,6,PhD,Self-Employed
66,53.226021333904015,3,Master,Unemployed
54,58.09320532627977,12,Bachelor,Unemployed
78,8.962633915494212,12,PhD,Unemployed
53,71.76357859086295,14,High School,Self-Employed
59,39.99052068041562,10,High School,Employed
66,97.67252386625789,5,Bachelor,Self-Employed
59,82.31740155956602,12,Master,Employed
66,52.24810405161183,8,Bachelor,Employed
69,12.322265417216604,10,PhD,Employed
73,85.94157932805892,14,Bachelor,Unemployed
54,79.97810954240217,1,High School,Unemployed
83,18.4585129537033,5,PhD,Employed
55,29.527828922031006,3,High School,Employed
51,79.34072581478372,4,Master,Unemployed
62,18.522844654740965,2,High School,Self-Employed
92,91.77524891713773,9,High School,Employed
92,42.45274251963619,3,Bachelor,Self-Employed
97,8.703896258765864,2,High School,Unemployed
60,81.57486435042809,10,PhD,Employed
100,37.35096830383876,11,PhD,Self-Employed
96,52.6499194153781,9,Master,Self-Employed
72,11.230434441121917,7,PhD,Self-Employed
65,0.2584014844982385,6,Bachelor,Unemployed
80,63.79852057932977,1,Master,Unemployed
60,51.51751703337316,5,PhD,Self-Employed
65,59.35385691231472,12,Bachelor,Self-Employed
57,79.37438503805163,11,PhD,Unemployed
53,64.66059134228601,14,PhD,Self-Employed
89,17.477344282737718,11,High School,Self-Employed
53,36.07725191105998,3,PhD,Unemployed
74,90.58911047877604,1,PhD,Self-Employed
52,76.9944700251679,4,Bachelor,Self-Employed
81,55.663705793671724,13,Bachelor,Self-Employed
52,25.56449978092723,2,High School,Unemployed
76,30.206050183479505,2,PhD,Self-Employed
78,73.19580675856345,3,High School,Unemployed
81,85.11742608527709,8,PhD,Unemployed
99,67.14246695306144,8,Master,Employed
100,80.95299757684418,12,Master,Employed
68,76.6656135200406,7,High School,Self-Employed
70,14.970396795695773,6,High School,Unemployed
54,42.3944812913302,9,High School,Employed
67,15.298380082856266,4,Bachelor,Self-Employed
77,23.52355848019848,12,Bachelor,Employed
91,86.92596246510526,1,Bachelor,Employed
71,47.289196563318214,8,High School,Unemployed
70,53.53581018426608,7,PhD,Unemployed
55,17.844596522777213,7,Master,Employed
50,31.2271786048796,3,High School,Employed
54,23.024616842786994,4,Bachelor,Unemployed
90,20.61861645184264,10,Bachelor,Self-Employed
61,63.796079331597014,9,High School,Unemployed
75,25.68838476457148,6,High School,Employed
95,63.201548602041846,5,Bachelor,Self-Employed
83,5.845461410855391,3,PhD,Employed
98,14.177439352710186,9,Bachelor,Self-Employed
63,27.45402540001254,5,Bachelor,Employed
75,59.70469168956917,5,High School,Self-Employed
94,67.5841245087376,14,PhD,Self-Employed
76,44.27169667795271,4,Bachelor,Employed
58,44.579091457722896,14,Bachelor,Self-Employed
75,72.45168513986181,4,Master,Unemployed
96,1.582109176558244,12,High School,Employed
71,34.10900244742206,1,Master,Unemployed
96,81.87070571192328,7,Master,Employed
79,60.321941021337224,9,Bachelor,Self-Employed
92,33.722713275542034,3,High School,Self-Employed
97,90.55247923296739,12,PhD,Self-Employed
66,77.26227274493826,13,Bachelor,Employed
75,26.48954472367334,2,PhD,Unemployed
85,64.52898375257169,3,PhD,Unemployed
50,59.57507281889567,1,High School,Employed
57,40.11879140389827,6,Master,Employed
98,36.695607920480064,11,High School,Unemployed
84,34.35604747757039,11,PhD,Unemployed
64,61.71557833956468,7,Bachelor,Unemployed
96,44.24099364806695,11,PhD,Unemployed
71,83.1863113251422,11,Bachelor,Employed
63,66.96026161339618,2,Bachelor,Employed
75,6.993160570943413,8,High School,Self-Employed
77,64.01682238281661,14,PhD,Unemployed
72,27.11474365001848,6,Master,Self-Employed
63,59.28119916534227,14,PhD,Employed
73,68.01319311034514,4,PhD,Employed
51,23.08291891540121,5,Master,Self-Employed
94,45.68586448803686,8,High School,Unemployed
75,19.03248628190678,14,PhD,Unemployed
63,5.233887578650831,3,PhD,Unemployed
100,37.84764234858691,3,Bachelor,Unemployed
56,36.2944271845992,14,PhD,Self-Employed
52,99.5480490704257,14,Master,Self-Employed
96,44.63523511976422,11,Bachelor,Employed
72,33.35695494722004,4,High School,Unemployed
95,58.047500671667464,1,Bachelor,Unemployed
92,8.876739410776846,9,Master,Unemployed
96,96.16657359548132,8,Master,Self-Employed
94,63.49600455910331,8,Bachelor,Unemployed
67,75.48378199408478,14,High School,Self-Employed
87,17.047793817391753,10,Bachelor,Unemployed
84,40.94778530052039,6,High School,Unemployed
100,42.26891133961895,7,Bachelor,Employed
64,82.18064439010868,6,Master,Unemployed
74,0.12366797594094425,9,PhD,Unemployed
86,30.085310835325508,3,PhD,Employed
77,98.12363743443039,14,High School,Self-Employed
59,47.488654350621864,3,High School,Self-Employed
88,38.25262802440083,3,High School,Unemployed
66,11.982900201764634,10,Master,Self-Employed
88,97.41646286280155,3,Bachelor,Unemployed
71,2.002635592582447,9,Master,Employed
75,73.71802250072432,12,PhD,Employed
93,76.85998047885084,4,High School,Unemployed
74,24.365671606386663,13,Bachelor,Employed
66,67.15584436130374,7,PhD,Employed
62,9.292914437938993,14,PhD,Unemployed
69,25.704726643207987,9,PhD,Unemployed
74,78.7901988292265,11,Master,Employed
53,86.46861920335402,12,High School,Self-Employed
59,60.84864126597913,7,PhD,Self-Employed
52,50.683843182048264,9,High School,Unemployed
